ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,In stock?,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: _wp_page_template,Meta: shopengine_product_views_count,Meta: ekit_post_views_count,Meta: _last_editor_used_jetpack,Meta: video_product,Meta: view_product,Meta: bwp_ids,Meta: _yoast_wpseo_content_score,Meta: _yoast_wpseo_estimated-reading-time-minutes,Meta: _yoast_wpseo_primary_product_brand
30696,simple,45cc357988b2,Rado - Ladies Watch - 38mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,325,465,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_370cd69d12314ed3b31472b5d7b54fbemv2.jpg,,,,,,,,,0,default,,,,,,,,,
30698,simple,adf7ac803973,Rado - Ladies Watch - 28mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,310,450,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_5c76458c931346a785b5c2e923223f19mv2.jpg,,,,,,,,,0,default,1,1,,,,,,,
30700,simple,dcaf5cbae673,Rado - Ladies Watch - 38mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,310,450,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_d17d68ab59b84b41aac3b309a1deb478mv2.jpg,,,,,,,,,0,default,2,2,,,,,,,
30702,simple,16576de20353,Rado - Ladies Watch - 28mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,295,425,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_d0f2c8ad7d2e4fc982b90a87bbd223ecmv2.png,,,,,,,,,0,default,,,,,,,,,
30704,simple,60eb95b247c6,Rado - Ladies Watch - 38mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,295,425,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_8baa604991174866a9afd575256eb8c2mv2.jpg,,,,,,,,,0,default,1,1,classic-editor,,FALSE,,60,,
30706,simple,43b35a045e2b,Rado - Ladies Watch - 28mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,290,420,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_e3c942534723400a8c27c74c6c86bb0emv2.jpg,,,,,,,,,0,default,1,1,,,,,,,
30708,simple,c67708860cd6,Rado - Ladies Watch - 28mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,285,360,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_c94d0a18a8a747589ffc3d559dca9ec1mv2.jpg,,,,,,,,,0,default,1,2,,,,,,,
30710,simple,8b276e1b8e81,Rado - Ladies Watch - 28mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,290,420,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_edc3ee4b4e0a462786153eaad26ac004mv2.jpg,,,,,,,,,0,default,,2,,,,,,,
30712,simple,fd6fbe8d2b61,Rado - Ladies Watch - 38mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,290,420,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_850936941d324853a9edd9f28f713525mv2.jpg,,,,,,,,,0,default,,,,,,,,,
30714,simple,a67a149f46f0,Rado - Ladies Watch - 38mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,285,360,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_b62b098f66404188af7eca6c0680ec07mv2.jpg,,,,,,,,,0,default,,,,,,,,,
30716,simple,b0d84d1b58cc,Rado - Ladies Watch - 28mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,255,360,"Ladies, Watches",Women,,"https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_b041491f317d4b1da19888c48b91c0dbmv2.jpg, https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_99ede70b537a4adcbaea42ad1d7c75dbmv2.jpg",,,,,,,,,0,default,,,,,,,,,
30719,simple,ca07e7d12249,Rado - Men Watch - 38mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,255,360,"Men, Watches",Men,,"https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_ff9f3e0d40ae4b1bacbe50121877d201mv2.jpg, https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_711ba17d48444f9faeee2d1065447288mv2.jpg",,,,,,,,,0,default,,,,,,,,,
30722,simple,9f174648b7bf,Charriol - Ladies Watch - 30mm,1,0,hidden,,,,,none,,5,5,,0,0,,,,,0,,750,1150,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_3ebb06e13ac1463b8dd1e5887afc22cemv2.jpg,,,,,,,,,0,default,,,,,,,,,
30724,simple,fd712b281f5c,Charriol - Ladies Watch - 24.5mm,1,0,hidden,,,,,none,,5,5,,0,0,,,,,0,,650,850,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_cc2551bb6ad2450c82931076a9308860mv2.jpg,,,,,,,,,0,default,,,,,,,,,
30726,simple,569add7b26c5,Cartier - Ladies Watch - 30mm x 25mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,1315,1550,"In Stock Available Immediately, Ladies, Watches",Women,,"https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_818b5857235f4d83a16158f01938264bmv2.jpg, https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_087c2d53bd584361acbe11d3d07ea92dmv2.jpg, https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_14915a63d02e42859750ef291956e6c3mv2.jpg",,,,,,,,,0,default,,,,,,,,,
30730,simple,550fa3ecb955,Charriol - Ladies Watch - 30mm,1,0,hidden,,,,,none,,5,5,,0,0,,,,,0,,540,835,"In Stock Available Immediately, Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_76c6cb558e7e4849b20f72a44a11ba58mv2.jpg,,,,,,,,,0,default,,,,,,,,,
30732,simple,eb69284a2323,Dior - Ladies Watch - 19mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,525,1620,"Ladies, Watches",Women,,"https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_c88a3999073149abb5768bcce013802dmv2.jpg, https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_9a0b4c4304af403391e442ec0c4332demv2.jpg",,,,,,,,,0,default,,,,,,,,,
30735,simple,83c18bfa1ac2,Dior - Ladies Watch - 19mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,575,1660,"Ladies, Watches",Women,,"https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_2bbeae135b874924a4e014335bfc343cmv2.jpg, https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_dc8fce7faead4d2f9d5b7214b4bc9e5dmv2.jpg",,,,,,,,,0,default,,,,,,,,,
